Author-year,AgS,ReT,SA (m2/g),Metal,AIC (mg/L),Temp,pH,rpm,Adc,Qm (µg/g),Aged condition,Solution- added agent,Note,Unnamed: 14
"(Wang et al., 2021)",Aged,PE,0.35,Cu (II),3.5,25.0,,,Single-ion,183.0,Lab: air incubating,,Aged MP (A-PE-MPs),
"(Wang et al., 2021)",Aged,PE,0.76,Cu (II),3.5,25.0,,,Single-ion,108.0,Lab: water incubating,,Aged MP (W-PE-MPs),
"(Wang et al., 2021)",Aged,PE,1.16,Cu (II),3.5,25.0,,,Single-ion,318.0,Lab: soil incubating,,Aged MP (S-PE-MPs),
"(Wang et al., 2021)",Virgin,PE,0.23,Cu (II),3.5,25.0,,,Mixed,42.6,,TC,,
"(Wang et al., 2021)",Aged,PE,0.35,Cu (II),3.5,25.0,,,Mixed,412.0,Lab: air incubating,TC,,
"(Wang et al., 2021)",Aged,PE,0.76,Cu (II),3.5,25.0,,,Mixed,120.0,Lab: water incubating,TC,,
"(Wang et al., 2021)",Aged,PE,1.16,Cu (II),3.5,25.0,,,Mixed,210.0,Lab: soil incubating,TC,,
"(Xue et al., 2021)",Vigin MP,TPU,0.543,Cu (II),26.25,,,100.0,Single-ion,454.0,,,,
"(Xue et al., 2021)",Aged,TPU,0.7573,Cu (II),26.25,,,100.0,Single-ion,521.0,Lab: UV,,,
"(Xue et al., 2021)",Vigin MP,TPU,0.543,Cu (II),26.25,,,100.0,Mixed,613.0,,OTC,,
"(Xue et al., 2021)",Aged,TPU,0.7573,Cu (II),26.25,,,100.0,Mixed,576.0,Lab: UV,OTC,,
"(Yu et al., 2021)",Virgin,PS,,Cd (II),11.0,15.0,,185.0,Mixed,655.6999999999999,,hexabromocyclododecane ,,
"(Yu et al., 2021)",Virgin,PS,,Cd (II),11.0,27.0,,185.0,Mixed,784.5999999999999,,hexabromocyclododecane ,,
"(Yu et al., 2021)",Virgin,PS,,Cd (II),11.0,45.0,,185.0,Mixed,926.4,,hexabromocyclododecane ,,
"(He et al., 2022)",Aged,PS,,Mn (II),11.0,25.0,,150.0,Mixed,463.8,Lab: Alkaline aging,HA ,,
"(He et al., 2022)",Aged,PS,,Mn (II),11.0,35.0,,150.0,Mixed,817.2,Lab: Alkaline aging,HA ,,
"(He et al., 2022)",Aged,PS,,Mn (II),11.0,45.0,,150.0,Mixed,970.7,Lab: Alkaline aging,HA ,,
"(Jiang et al., 2022)",Virgins,PE,0.21,Pb (II),102.5,25.0,,,Single-ion,239.9,,,,
"(Jiang et al., 2022)",Virgins,PE,0.21,Pb (II),102.5,25.0,,,Mixed,481.7,,CTAB,PE-CTAB,
"(Jiang et al., 2022)",Virgins,PE,0.21,Pb (II),102.5,25.0,,,Mixed,1031.2,,SDBS,PE-SDBS,
"(Jiang et al., 2022)",Virgins,PP,0.87,Pb (II),102.5,25.0,,,Single-ion,1890.4,,,,
"(Jiang et al., 2022)",Virgins,PP,0.87,Pb (II),102.5,25.0,,,Mixed,1375.1,,CTAB ,PP-CTAB,
"(Jiang et al., 2022)",Virgins,PP,0.87,Pb (II),102.5,25.0,,,Mixed,2513.2,,SDBS,PP-SDBS,
(Li_li 2022),Virgins,PS,,Cr(VI),27.5,25.0,,200.0,Single-ion,3474.0,,,Comparing the influence….,
(Li_li 2022),Virgins,PS,,Cr(VI),27.5,25.0,,200.0,Mixed,917.0,,FA,PS+FA10,
(Li_li 2022),Virgins,PS,,Cr(VI),27.5,25.0,,200.0,Mixed,704.0,,FA,PS+FA20,
(Li_li 2022),Virgins,PS,,Cr(VI),27.5,25.0,,200.0,Mixed,4527.0,,TA,PS+TA10,
(Li_li 2022),Virgins,PS,,Cr(VI),27.5,25.0,,200.0,Mixed,4901.0,,TA,PS+TA20,
(Li_li 2022),Virgins,PS,,Cr(VI),27.5,25.0,,200.0,Mixed,2598.0,,HA,PS+HA10,
(Li_li 2022),Virgins,PS,,Cr(VI),27.5,25.0,,200.0,Mixed,1786.0,,HA,PS+HA20,
(Li_zu 2022),Virgins,PS,0.46,Pb (II),25.5,25.0,7.0,200.0,Single-ion,511.0,,,Adsorption of lead and cadmium by…,
(Li_zu 2022),Virgins,PP,1.71,Pb (II),25.5,25.0,7.0,200.0,Single-ion,775.0,,,,
(Li_zu 2022),Virgins,PS,0.46,Cd (II),25.5,25.0,7.0,200.0,Single-ion,314.0,,,,
(Li_zu 2022),Virgins,PP,1.71,Cd (II),25.5,25.0,7.0,200.0,Single-ion,323.0,,,,
(Li_Wang 2022),Virgins,PBS,1.06,Pb (II),4.0,25.0,5.0,180.0,Single-ion,64.13,,,Effect of biofilm colonization…,
(Li_Wang 2022),Aged,PBS,1.15,Pb (II),4.0,25.0,5.0,180.0,Single-ion,647.09,Lab: wastewater-incubation,,Aged MP (biofilm),
(Li_Wang 2022),Aged,PBS,0.69,Pb (II),4.0,25.0,5.0,180.0,Single-ion,323.62,Lab: wastewater-incubation,,Aged MP (biofilm removed),
(Li_Zhang  2022),Virgins,PS,0.157,Cr (VI),10.5,5.0,,180.0,Single-ion,95.77,,,Adsorption behaviour of ,
(Li_Zhang  2022),Virgins,PA,0.0304 ,Cr (VI),10.5,5.0,,180.0,Single-ion,588.42,,,,
(Li_Zhang  2022),Virgins,PE,0.5107,Cr (VI),10.5,15.0,,180.0,Single-ion,69.03,,,,
(Li_Zhang  2022),Virgins,PS,0.157,Cr (VI),10.5,15.0,,180.0,Single-ion,164.54,,,,
(Li_Zhang  2022),Virgins,PA,0.0304 ,Cr (VI),10.5,15.0,,180.0,Single-ion,797.61,,,,
(Li_Zhang  2022),Virgins,PS,0.157,Cr (VI),10.5,25.0,,180.0,Single-ion,238.47,,,,
(Li_Zhang  2022),Virgins,PA,0.0304 ,Cr (VI),10.5,25.0,,180.0,Single-ion,745.26,,,,
(Li_Zhang  2022),Virgins,PS,0.157,Cr (VI),10.5,35.0,,180.0,Single-ion,85.67,,,,
(Li_Zhang  2022),Virgins,PA,0.0304 ,Cr (VI),10.5,35.0,,180.0,Single-ion,791.44,,,,
(Li_Zhang  2022),Aged,PA,0.0417,Cr (VI),10.5,5.0,,180.0,Single-ion,715.54,Lab: UV,,,
