Row_ID,Source_ID,DOI,Publication_year,First_author,Reference_title,Journal,All_authors,RIS_index,AgS,ReT,SA,Metal,AIC,Temp,pH,rpm,Adc,Qm,Aged condition,Solution- added agent,Study_ID,Study_ID_numeric,extreme_qm_flag,log_Qm,Temp_missing,pH_missing,rpm_missing,imputed_AIC,imputed_Temp,imputed_rpm,quality_score,quality_flags,quality_category
QMR063,QMS038,10.1016/j.jes.2019.07.006,2020,"Wang, Q.",The adsorption behavior of metals in aqueous solution by microplastics effected by UV radiation,Journal of Environmental Sciences (China),"Wang, Q.; Zhang, Y.; Wangjin, X.; Wang, Y.; Meng, G.; Chen, Y.",13,Aged,PET,,Zn (II),6.0,35.0,7.0,150.0,Single-ion,318.42,Lab: UV,,QMS038,38,False,5.763371266067859,0,0,0,0,0,0,100,none,high
QMR064,QMS043,10.1016/j.cej.2019.123808,2020,"Wang, Y.",Biofilm alters tetracycline and copper adsorption behaviors onto polyethylene microplastics,Chemical Engineering Journal,"Wang, Y.; Wang, X.; Li, Y.; Li, J.; Wang, F.; Xia, S.; Zhao, J.",11,Virgin,PE,0.2354,Cu (II),2.5,25.0,7.0,160.0,Single-ion,237.5,,,QMS043,43,False,5.470167623474696,0,0,1,0,0,1,97,imputed_rpm,high
QMR065,QMS043,10.1016/j.cej.2019.123808,2020,"Wang, Y.",Biofilm alters tetracycline and copper adsorption behaviors onto polyethylene microplastics,Chemical Engineering Journal,"Wang, Y.; Wang, X.; Li, Y.; Li, J.; Wang, F.; Xia, S.; Zhao, J.",11,Virgin,PE,0.7762,Cu (II),2.5,25.0,7.0,160.0,Mixed,762.2,"Lab: Wastewater, 20d",TC,QMS043,43,False,6.63620898843976,0,0,1,0,0,1,97,imputed_rpm,high
QMR066,QMS004,10.1016/j.marpolbul.2021.112480,2021,"Gao, L.",Microplastics aged in various environmental media exhibited strong sorption to heavy metals in seawater,Marine Pollution Bulletin,"Gao, L.; Fu, D.; Zhao, J.; Wu, W.; Wang, Z.; Su, Y.; Peng, L.",54,Virgin,PS,,Cu (II),1.005,25.0,7.0,160.0,Single-ion,777.18,,,QMS004,4,False,6.65567198377022,0,0,0,0,0,0,100,none,high
QMR067,QMS004,10.1016/j.marpolbul.2021.112480,2021,"Gao, L.",Microplastics aged in various environmental media exhibited strong sorption to heavy metals in seawater,Marine Pollution Bulletin,"Gao, L.; Fu, D.; Zhao, J.; Wu, W.; Wang, Z.; Su, Y.; Peng, L.",54,Aged,PS,,Cu (II),1.005,25.0,7.0,160.0,Single-ion,1566.94,Lab: UV seawater,,QMS004,4,False,7.35687995189736,0,0,0,0,0,0,100,none,high
QMR068,QMS004,10.1016/j.marpolbul.2021.112480,2021,"Gao, L.",Microplastics aged in various environmental media exhibited strong sorption to heavy metals in seawater,Marine Pollution Bulletin,"Gao, L.; Fu, D.; Zhao, J.; Wu, W.; Wang, Z.; Su, Y.; Peng, L.",54,Virgin,PVC,,Cu (II),1.005,25.0,7.0,160.0,Single-ion,715.99,,,QMS004,4,False,6.573666200382666,0,0,0,0,0,0,100,none,high
QMR069,QMS004,10.1016/j.marpolbul.2021.112480,2021,"Gao, L.",Microplastics aged in various environmental media exhibited strong sorption to heavy metals in seawater,Marine Pollution Bulletin,"Gao, L.; Fu, D.; Zhao, J.; Wu, W.; Wang, Z.; Su, Y.; Peng, L.",54,Aged,PVC,,Cu (II),1.005,25.0,7.0,160.0,Single-ion,1282.35,Lab: UV seawater,,QMS004,4,False,7.156449611140352,0,0,0,0,0,0,100,none,high
QMR070,QMS004,10.1016/j.marpolbul.2021.112480,2021,"Gao, L.",Microplastics aged in various environmental media exhibited strong sorption to heavy metals in seawater,Marine Pollution Bulletin,"Gao, L.; Fu, D.; Zhao, J.; Wu, W.; Wang, Z.; Su, Y.; Peng, L.",54,Virgin,PS,,Cd (II),1.005,25.0,7.0,160.0,Single-ion,1369.33,,,QMS004,4,False,7.22207684810279,0,0,0,0,0,0,100,none,high
QMR071,QMS004,10.1016/j.marpolbul.2021.112480,2021,"Gao, L.",Microplastics aged in various environmental media exhibited strong sorption to heavy metals in seawater,Marine Pollution Bulletin,"Gao, L.; Fu, D.; Zhao, J.; Wu, W.; Wang, Z.; Su, Y.; Peng, L.",54,Aged,PS,,Cd (II),1.005,25.0,7.0,160.0,Single-ion,3903.1,Lab: UV seawater,,QMS004,4,False,8.26952638816933,0,0,0,0,0,0,100,none,high
QMR072,QMS004,10.1016/j.marpolbul.2021.112480,2021,"Gao, L.",Microplastics aged in various environmental media exhibited strong sorption to heavy metals in seawater,Marine Pollution Bulletin,"Gao, L.; Fu, D.; Zhao, J.; Wu, W.; Wang, Z.; Su, Y.; Peng, L.",54,Virgin,PVC,,Cd (II),1.005,25.0,7.0,160.0,Single-ion,1371.13,,,QMS004,4,False,7.223390496365382,0,0,0,0,0,0,100,none,high
QMR073,QMS004,10.1016/j.marpolbul.2021.112480,2021,"Gao, L.",Microplastics aged in various environmental media exhibited strong sorption to heavy metals in seawater,Marine Pollution Bulletin,"Gao, L.; Fu, D.; Zhao, J.; Wu, W.; Wang, Z.; Su, Y.; Peng, L.",54,Aged,PVC,,Cd (II),1.005,25.0,7.0,160.0,Single-ion,2366.53,Lab: UV seawater,,QMS004,4,False,7.7691800262150315,0,0,0,0,0,0,100,none,high
QMR074,QMS015,10.1016/j.scitotenv.2021.148940,2021,"Li, X.",Aging microplastics in wastewater pipeline networks and treatment processes: Physicochemical characteristics and Cd adsorption,Science of the Total Environment,"Li, X.; Li, M.; Mei, Q.; Niu, S.; Wang, X.; Xu, H.; Dong, B.; Dai, X.; Zhou, J. L.",38,Virgin,PA,10.059,Cd (II),20.5,25.0,7.0,30.0,Single-ion,339.6,,,QMS015,15,False,5.827768454437193,0,0,0,0,0,0,100,none,high
QMR075,QMS015,10.1016/j.scitotenv.2021.148940,2021,"Li, X.",Aging microplastics in wastewater pipeline networks and treatment processes: Physicochemical characteristics and Cd adsorption,Science of the Total Environment,"Li, X.; Li, M.; Mei, Q.; Niu, S.; Wang, X.; Xu, H.; Dong, B.; Dai, X.; Zhou, J. L.",38,Aged,PA,30.597,Cd (II),20.5,25.0,7.0,30.0,Single-ion,2130.0,Lab: Wastewater pipeline,,QMS015,15,False,7.6638772587034705,0,0,0,0,0,0,100,none,high
QMR076,QMS015,10.1016/j.scitotenv.2021.148940,2021,"Li, X.",Aging microplastics in wastewater pipeline networks and treatment processes: Physicochemical characteristics and Cd adsorption,Science of the Total Environment,"Li, X.; Li, M.; Mei, Q.; Niu, S.; Wang, X.; Xu, H.; Dong, B.; Dai, X.; Zhou, J. L.",38,Aged,PE,53.972,Cd (II),20.5,25.0,7.0,30.0,Single-ion,126.5,Lab: Grit tank,,QMS015,15,False,4.840242308167575,0,0,0,0,0,0,100,none,high
QMR077,QMS015,10.1016/j.scitotenv.2021.148940,2021,"Li, X.",Aging microplastics in wastewater pipeline networks and treatment processes: Physicochemical characteristics and Cd adsorption,Science of the Total Environment,"Li, X.; Li, M.; Mei, Q.; Niu, S.; Wang, X.; Xu, H.; Dong, B.; Dai, X.; Zhou, J. L.",38,Aged,PE,36.953,Cd (II),20.5,25.0,7.0,30.0,Single-ion,614.48,Lab: Aeration tank,,QMS015,15,False,6.420776381690427,0,0,0,0,0,0,100,none,high
QMR078,QMS015,10.1016/j.scitotenv.2021.148940,2021,"Li, X.",Aging microplastics in wastewater pipeline networks and treatment processes: Physicochemical characteristics and Cd adsorption,Science of the Total Environment,"Li, X.; Li, M.; Mei, Q.; Niu, S.; Wang, X.; Xu, H.; Dong, B.; Dai, X.; Zhou, J. L.",38,Aged,PS,99.568,Cd (II),20.5,25.0,7.0,30.0,Single-ion,57.48,Lab: Aeration tank,,QMS015,15,False,4.051437061210824,0,0,0,0,0,0,100,none,high
QMR079,QMS021,10.1016/j.ecoenv.2020.111451,2021,"Lin, Z.",Comparative analysis of kinetics and mechanisms for Pb(II) sorption onto three kinds of microplastics,Ecotoxicology and Environmental Safety,"Lin, Z.; Hu, Y.; Yuan, Y.; Hu, B.; Wang, B.",33,Virgin,PVC,1.73,Pb (II),10.1,15.0,6.0,150.0,Single-ion,650.7,,,QMS021,21,False,6.478048706500939,0,0,0,1,0,0,97,imputed_AIC,high
QMR080,QMS021,10.1016/j.ecoenv.2020.111451,2021,"Lin, Z.",Comparative analysis of kinetics and mechanisms for Pb(II) sorption onto three kinds of microplastics,Ecotoxicology and Environmental Safety,"Lin, Z.; Hu, Y.; Yuan, Y.; Hu, B.; Wang, B.",33,Virgin,PVC,1.73,Pb (II),10.1,15.0,6.0,150.0,Single-ion,794.8,,,QMS021,21,False,6.678090510677662,0,0,0,1,0,0,97,imputed_AIC,high
QMR081,QMS021,10.1016/j.ecoenv.2020.111451,2021,"Lin, Z.",Comparative analysis of kinetics and mechanisms for Pb(II) sorption onto three kinds of microplastics,Ecotoxicology and Environmental Safety,"Lin, Z.; Hu, Y.; Yuan, Y.; Hu, B.; Wang, B.",33,Virgin,PVC,1.73,Pb (II),10.1,15.0,6.0,150.0,Single-ion,943.2,,,QMS021,21,False,6.8492783492231615,0,0,0,1,0,0,97,imputed_AIC,high
QMR082,QMS028,10.1016/j.jhazmat.2021.125115,2021,"Qi, K.",Uptake of Pb(II) onto microplastic-associated biofilms in freshwater: Adsorption and combined toxicity in comparison to natural solid substrates,Journal of Hazardous Materials,"Qi, K.; Lu, N.; Zhang, S.; Wang, W.; Wang, Z.; Guan, J.",27,Virgin,PS,,Pb (II),0.505,25.0,6.0,160.0,Single-ion,613.1,,,QMS028,28,False,6.418528054768642,0,0,1,0,0,1,97,imputed_rpm,high
QMR083,QMS028,10.1016/j.jhazmat.2021.125115,2021,"Qi, K.",Uptake of Pb(II) onto microplastic-associated biofilms in freshwater: Adsorption and combined toxicity in comparison to natural solid substrates,Journal of Hazardous Materials,"Qi, K.; Lu, N.; Zhang, S.; Wang, W.; Wang, Z.; Guan, J.",27,Aged,PS,,Pb (II),0.505,25.0,6.0,160.0,Single-ion,1239.72,Nature: Lake,,QMS028,28,False,7.122640826649354,0,0,1,0,0,1,97,imputed_rpm,high
QMR084,QMS028,10.1016/j.jhazmat.2021.125115,2021,"Qi, K.",Uptake of Pb(II) onto microplastic-associated biofilms in freshwater: Adsorption and combined toxicity in comparison to natural solid substrates,Journal of Hazardous Materials,"Qi, K.; Lu, N.; Zhang, S.; Wang, W.; Wang, Z.; Guan, J.",27,Aged,PS,,Pb (II),0.505,25.0,6.0,160.0,Single-ion,1101.41,Nature: Lake,,QMS028,28,False,7.0043464561407145,0,0,1,0,0,1,97,imputed_rpm,high
QMR085,QMS039,10.1016/j.cej.2020.126412,2021,"Wang, Y.","Effects of exposure of polyethylene microplastics to air, water and soil on their adsorption behaviors for copper and tetracycline",Chemical Engineering Journal,"Wang, Y.; Wang, X.; Li, Y.; Li, J.; Liu, Y.; Xia, S.; Zhao, J.",12,Virgin,PE,0.23,Cu (II),3.5,25.0,,160.0,Single-ion,31.2,,,QMS039,39,False,3.4404180948154366,0,1,1,0,0,1,92,imputed_rpm;pH_missing,high
QMR086,QMS039,10.1016/j.cej.2020.126412,2021,"Wang, Y.","Effects of exposure of polyethylene microplastics to air, water and soil on their adsorption behaviors for copper and tetracycline",Chemical Engineering Journal,"Wang, Y.; Wang, X.; Li, Y.; Li, J.; Liu, Y.; Xia, S.; Zhao, J.",12,Aged,PE,0.35,Cu (II),3.5,25.0,,160.0,Single-ion,183.0,Lab: air incubating,,QMS039,39,False,5.209486152841421,0,1,1,0,0,1,92,imputed_rpm;pH_missing,high
QMR087,QMS039,10.1016/j.cej.2020.126412,2021,"Wang, Y.","Effects of exposure of polyethylene microplastics to air, water and soil on their adsorption behaviors for copper and tetracycline",Chemical Engineering Journal,"Wang, Y.; Wang, X.; Li, Y.; Li, J.; Liu, Y.; Xia, S.; Zhao, J.",12,Aged,PE,0.76,Cu (II),3.5,25.0,,160.0,Single-ion,108.0,Lab: water incubating,,QMS039,39,False,4.68213122712422,0,1,1,0,0,1,92,imputed_rpm;pH_missing,high
QMR088,QMS039,10.1016/j.cej.2020.126412,2021,"Wang, Y.","Effects of exposure of polyethylene microplastics to air, water and soil on their adsorption behaviors for copper and tetracycline",Chemical Engineering Journal,"Wang, Y.; Wang, X.; Li, Y.; Li, J.; Liu, Y.; Xia, S.; Zhao, J.",12,Aged,PE,1.16,Cu (II),3.5,25.0,,160.0,Single-ion,318.0,Lab: soil incubating,,QMS039,39,False,5.762051382780177,0,1,1,0,0,1,92,imputed_rpm;pH_missing,high
QMR089,QMS039,10.1016/j.cej.2020.126412,2021,"Wang, Y.","Effects of exposure of polyethylene microplastics to air, water and soil on their adsorption behaviors for copper and tetracycline",Chemical Engineering Journal,"Wang, Y.; Wang, X.; Li, Y.; Li, J.; Liu, Y.; Xia, S.; Zhao, J.",12,Virgin,PE,0.23,Cu (II),3.5,25.0,,160.0,Mixed,42.6,,TC,QMS039,39,False,3.751854253275325,0,1,1,0,0,1,92,imputed_rpm;pH_missing,high
QMR090,QMS039,10.1016/j.cej.2020.126412,2021,"Wang, Y.","Effects of exposure of polyethylene microplastics to air, water and soil on their adsorption behaviors for copper and tetracycline",Chemical Engineering Journal,"Wang, Y.; Wang, X.; Li, Y.; Li, J.; Liu, Y.; Xia, S.; Zhao, J.",12,Aged,PE,0.35,Cu (II),3.5,25.0,,160.0,Mixed,412.0,Lab: air incubating,TC,QMS039,39,False,6.021023349349527,0,1,1,0,0,1,92,imputed_rpm;pH_missing,high
QMR091,QMS039,10.1016/j.cej.2020.126412,2021,"Wang, Y.","Effects of exposure of polyethylene microplastics to air, water and soil on their adsorption behaviors for copper and tetracycline",Chemical Engineering Journal,"Wang, Y.; Wang, X.; Li, Y.; Li, J.; Liu, Y.; Xia, S.; Zhao, J.",12,Aged,PE,0.76,Cu (II),3.5,25.0,,160.0,Mixed,120.0,Lab: water incubating,TC,QMS039,39,False,4.787491742782046,0,1,1,0,0,1,92,imputed_rpm;pH_missing,high
QMR092,QMS039,10.1016/j.cej.2020.126412,2021,"Wang, Y.","Effects of exposure of polyethylene microplastics to air, water and soil on their adsorption behaviors for copper and tetracycline",Chemical Engineering Journal,"Wang, Y.; Wang, X.; Li, Y.; Li, J.; Liu, Y.; Xia, S.; Zhao, J.",12,Aged,PE,1.16,Cu (II),3.5,25.0,,160.0,Mixed,210.0,Lab: soil incubating,TC,QMS039,39,False,5.3471075307174685,0,1,1,0,0,1,92,imputed_rpm;pH_missing,high
QMR093,QMS044,10.1016/j.jhazmat.2020.124835,2021,"Xue, X. D.",Adsorption behaviors of the pristine and aged thermoplastic polyurethane microplastics in Cu(II)-OTC coexisting system,Journal of Hazardous Materials,"Xue, X. D.; Fang, C. R.; Zhuang, H. F.",10,Virgin,TPU,0.543,Cu (II),26.25,25.0,,100.0,Single-ion,454.0,,,QMS044,44,False,6.118097198041348,1,1,0,0,1,0,92,imputed_Temp;pH_missing,high
QMR094,QMS044,10.1016/j.jhazmat.2020.124835,2021,"Xue, X. D.",Adsorption behaviors of the pristine and aged thermoplastic polyurethane microplastics in Cu(II)-OTC coexisting system,Journal of Hazardous Materials,"Xue, X. D.; Fang, C. R.; Zhuang, H. F.",10,Aged,TPU,0.7573,Cu (II),26.25,25.0,,100.0,Single-ion,521.0,Lab: UV,,QMS044,44,False,6.255750041753367,1,1,0,0,1,0,92,imputed_Temp;pH_missing,high
QMR095,QMS044,10.1016/j.jhazmat.2020.124835,2021,"Xue, X. D.",Adsorption behaviors of the pristine and aged thermoplastic polyurethane microplastics in Cu(II)-OTC coexisting system,Journal of Hazardous Materials,"Xue, X. D.; Fang, C. R.; Zhuang, H. F.",10,Virgin,TPU,0.543,Cu (II),26.25,25.0,,100.0,Mixed,613.0,,OTC,QMS044,44,False,6.418364935936212,1,1,0,0,1,0,92,imputed_Temp;pH_missing,high
QMR096,QMS044,10.1016/j.jhazmat.2020.124835,2021,"Xue, X. D.",Adsorption behaviors of the pristine and aged thermoplastic polyurethane microplastics in Cu(II)-OTC coexisting system,Journal of Hazardous Materials,"Xue, X. D.; Fang, C. R.; Zhuang, H. F.",10,Aged,TPU,0.7573,Cu (II),26.25,25.0,,100.0,Mixed,576.0,Lab: UV,OTC,QMS044,44,False,6.3561076606958915,1,1,0,0,1,0,92,imputed_Temp;pH_missing,high
QMR097,QMS046,10.1016/j.eti.2021.102036,2021,"Yu, A.",Adsorption mechanism of cadmium on polystyrene microplastics containing hexabromocyclododecane,Environmental Technology and Innovation,"Yu, A.; Sun, X.; Tang, S.; Zhang, Y.; Li, M.; Wang, X.",8,Virgin,PS,,Cd (II),11.0,15.0,,185.0,Mixed,655.6999999999999,,hexabromocyclododecane ,QMS046,46,False,6.485703367269574,0,1,0,0,0,0,95,pH_missing,high
QMR098,QMS046,10.1016/j.eti.2021.102036,2021,"Yu, A.",Adsorption mechanism of cadmium on polystyrene microplastics containing hexabromocyclododecane,Environmental Technology and Innovation,"Yu, A.; Sun, X.; Tang, S.; Zhang, Y.; Li, M.; Wang, X.",8,Virgin,PS,,Cd (II),11.0,27.0,,185.0,Mixed,784.5999999999999,,hexabromocyclododecane ,QMS046,46,False,6.665174033775452,0,1,0,0,0,0,95,pH_missing,high
QMR099,QMS046,10.1016/j.eti.2021.102036,2021,"Yu, A.",Adsorption mechanism of cadmium on polystyrene microplastics containing hexabromocyclododecane,Environmental Technology and Innovation,"Yu, A.; Sun, X.; Tang, S.; Zhang, Y.; Li, M.; Wang, X.",8,Virgin,PS,,Cd (II),11.0,45.0,,185.0,Mixed,926.4,,hexabromocyclododecane ,QMS046,46,False,6.83130610681873,0,1,0,0,0,0,95,pH_missing,high
QMR100,QMS007,10.1016/j.jece.2022.109040,2022,"He, W.",Adsorption behavior of aged polystyrene microplastics (PSMPs) for manganese in water: Critical role of hydrated functional zone surrounding the microplastic surface,Journal of Environmental Chemical Engineering,"He, W.; Wang, X.; Zhang, Y.; Zhu, B.; Wu, H.",49,Aged,PS,,Mn (II),11.0,25.0,,150.0,Mixed,463.8,Lab: Alkaline aging,HA ,QMS007,7,False,6.139453424821431,0,1,0,0,0,0,95,pH_missing,high
QMR101,QMS007,10.1016/j.jece.2022.109040,2022,"He, W.",Adsorption behavior of aged polystyrene microplastics (PSMPs) for manganese in water: Critical role of hydrated functional zone surrounding the microplastic surface,Journal of Environmental Chemical Engineering,"He, W.; Wang, X.; Zhang, Y.; Zhu, B.; Wu, H.",49,Aged,PS,,Mn (II),11.0,35.0,,150.0,Mixed,817.2,Lab: Alkaline aging,HA ,QMS007,7,False,6.705883862943467,0,1,0,0,0,0,95,pH_missing,high
QMR102,QMS007,10.1016/j.jece.2022.109040,2022,"He, W.",Adsorption behavior of aged polystyrene microplastics (PSMPs) for manganese in water: Critical role of hydrated functional zone surrounding the microplastic surface,Journal of Environmental Chemical Engineering,"He, W.; Wang, X.; Zhang, Y.; Zhu, B.; Wu, H.",49,Aged,PS,,Mn (II),11.0,45.0,,150.0,Mixed,970.7,Lab: Alkaline aging,HA ,QMS007,7,False,6.878017460718181,0,1,0,0,0,0,95,pH_missing,high
QMR103,QMS012,10.1016/j.jcis.2022.04.068,2022,"Jiang, Y.",Surfactant-induced adsorption of Pb(II) on the cracked structure of microplastics,Journal of Colloid and Interface Science,"Jiang, Y.; Qin, Z.; Fei, J.; Ding, D.; Sun, H.; Wang, J.; Yin, X.",43,Virgin,PE,0.21,Pb (II),102.5,25.0,,160.0,Single-ion,239.9,,,QMS012,12,False,5.480222169845649,0,1,1,0,0,1,92,imputed_rpm;pH_missing,high
QMR104,QMS012,10.1016/j.jcis.2022.04.068,2022,"Jiang, Y.",Surfactant-induced adsorption of Pb(II) on the cracked structure of microplastics,Journal of Colloid and Interface Science,"Jiang, Y.; Qin, Z.; Fei, J.; Ding, D.; Sun, H.; Wang, J.; Yin, X.",43,Virgin,PE,0.21,Pb (II),102.5,25.0,,160.0,Mixed,481.7,,CTAB,QMS012,12,False,6.177321513636175,0,1,1,0,0,1,92,imputed_rpm;pH_missing,high
QMR105,QMS012,10.1016/j.jcis.2022.04.068,2022,"Jiang, Y.",Surfactant-induced adsorption of Pb(II) on the cracked structure of microplastics,Journal of Colloid and Interface Science,"Jiang, Y.; Qin, Z.; Fei, J.; Ding, D.; Sun, H.; Wang, J.; Yin, X.",43,Virgin,PE,0.21,Pb (II),102.5,25.0,,160.0,Mixed,1031.2,,SDBS,QMS012,12,False,6.938478451624977,0,1,1,0,0,1,92,imputed_rpm;pH_missing,high
QMR106,QMS012,10.1016/j.jcis.2022.04.068,2022,"Jiang, Y.",Surfactant-induced adsorption of Pb(II) on the cracked structure of microplastics,Journal of Colloid and Interface Science,"Jiang, Y.; Qin, Z.; Fei, J.; Ding, D.; Sun, H.; Wang, J.; Yin, X.",43,Virgin,PP,0.87,Pb (II),102.5,25.0,,160.0,Single-ion,1890.4,,,QMS012,12,False,7.544543725872698,0,1,1,0,0,1,92,imputed_rpm;pH_missing,high
QMR107,QMS012,10.1016/j.jcis.2022.04.068,2022,"Jiang, Y.",Surfactant-induced adsorption of Pb(II) on the cracked structure of microplastics,Journal of Colloid and Interface Science,"Jiang, Y.; Qin, Z.; Fei, J.; Ding, D.; Sun, H.; Wang, J.; Yin, X.",43,Virgin,PP,0.87,Pb (II),102.5,25.0,,160.0,Mixed,1375.1,,CTAB ,QMS012,12,False,7.226281734728899,0,1,1,0,0,1,92,imputed_rpm;pH_missing,high
QMR108,QMS012,10.1016/j.jcis.2022.04.068,2022,"Jiang, Y.",Surfactant-induced adsorption of Pb(II) on the cracked structure of microplastics,Journal of Colloid and Interface Science,"Jiang, Y.; Qin, Z.; Fei, J.; Ding, D.; Sun, H.; Wang, J.; Yin, X.",43,Virgin,PP,0.87,Pb (II),102.5,25.0,,160.0,Mixed,2513.2,,SDBS,QMS012,12,False,7.829312120528792,0,1,1,0,0,1,92,imputed_rpm;pH_missing,high
QMR109,QMS019,10.1016/j.chemosphere.2022.135697,2022,"Li, J.",Comparing the influence of humic/fulvic acid and tannic acid on Cr(VI) adsorption onto polystyrene microplastics: Evidence for the formation of Cr(OH)3 colloids,Chemosphere,"Li, J.; Li, X.; Ma, S.; Zhao, W.; Xie, W.; Ma, J.; Yao, Y.; Wei, W.",41,Virgin,PS,,Cr (VI),27.5,25.0,,200.0,Single-ion,3474.0,,,QMS019,19,False,8.153061946801051,0,1,0,0,0,0,95,pH_missing,high
QMR110,QMS019,10.1016/j.chemosphere.2022.135697,2022,"Li, J.",Comparing the influence of humic/fulvic acid and tannic acid on Cr(VI) adsorption onto polystyrene microplastics: Evidence for the formation of Cr(OH)3 colloids,Chemosphere,"Li, J.; Li, X.; Ma, S.; Zhao, W.; Xie, W.; Ma, J.; Yao, Y.; Wei, W.",41,Virgin,PS,,Cr (VI),27.5,25.0,,200.0,Mixed,917.0,,FA,QMS019,19,False,6.821107472256465,0,1,0,0,0,0,95,pH_missing,high
QMR111,QMS019,10.1016/j.chemosphere.2022.135697,2022,"Li, J.",Comparing the influence of humic/fulvic acid and tannic acid on Cr(VI) adsorption onto polystyrene microplastics: Evidence for the formation of Cr(OH)3 colloids,Chemosphere,"Li, J.; Li, X.; Ma, S.; Zhao, W.; Xie, W.; Ma, J.; Yao, Y.; Wei, W.",41,Virgin,PS,,Cr (VI),27.5,25.0,,200.0,Mixed,704.0,,FA,QMS019,19,False,6.556778356158042,0,1,0,0,0,0,95,pH_missing,high
QMR112,QMS019,10.1016/j.chemosphere.2022.135697,2022,"Li, J.",Comparing the influence of humic/fulvic acid and tannic acid on Cr(VI) adsorption onto polystyrene microplastics: Evidence for the formation of Cr(OH)3 colloids,Chemosphere,"Li, J.; Li, X.; Ma, S.; Zhao, W.; Xie, W.; Ma, J.; Yao, Y.; Wei, W.",41,Virgin,PS,,Cr (VI),27.5,25.0,,200.0,Mixed,4527.0,,TA,QMS019,19,False,8.417814747435958,0,1,0,0,0,0,95,pH_missing,high
QMR113,QMS019,10.1016/j.chemosphere.2022.135697,2022,"Li, J.",Comparing the influence of humic/fulvic acid and tannic acid on Cr(VI) adsorption onto polystyrene microplastics: Evidence for the formation of Cr(OH)3 colloids,Chemosphere,"Li, J.; Li, X.; Ma, S.; Zhao, W.; Xie, W.; Ma, J.; Yao, Y.; Wei, W.",41,Virgin,PS,,Cr (VI),27.5,25.0,,200.0,Mixed,4901.0,,TA,QMS019,19,False,8.497194544909547,0,1,0,0,0,0,95,pH_missing,high
QMR114,QMS019,10.1016/j.chemosphere.2022.135697,2022,"Li, J.",Comparing the influence of humic/fulvic acid and tannic acid on Cr(VI) adsorption onto polystyrene microplastics: Evidence for the formation of Cr(OH)3 colloids,Chemosphere,"Li, J.; Li, X.; Ma, S.; Zhao, W.; Xie, W.; Ma, J.; Yao, Y.; Wei, W.",41,Virgin,PS,,Cr (VI),27.5,25.0,,200.0,Mixed,2598.0,,HA,QMS019,19,False,7.862497197230545,0,1,0,0,0,0,95,pH_missing,high
QMR115,QMS019,10.1016/j.chemosphere.2022.135697,2022,"Li, J.",Comparing the influence of humic/fulvic acid and tannic acid on Cr(VI) adsorption onto polystyrene microplastics: Evidence for the formation of Cr(OH)3 colloids,Chemosphere,"Li, J.; Li, X.; Ma, S.; Zhao, W.; Xie, W.; Ma, J.; Yao, Y.; Wei, W.",41,Virgin,PS,,Cr (VI),27.5,25.0,,200.0,Mixed,1786.0,,HA,QMS019,19,False,7.487733761436444,0,1,0,0,0,0,95,pH_missing,high
QMR116,QMS020,10.1016/j.jece.2022.107379,2022,"Li, W.",Adsorption of lead and cadmium by microplastics and their desorption behavior as vectors in the gastrointestinal environment,Journal of Environmental Chemical Engineering,"Li, W.; Zu, B.; Yang, Q.; Huang, Y.; Li, J.",39,Virgin,PS,0.46,Pb (II),25.5,25.0,7.0,200.0,Single-ion,511.0,,,QMS020,20,False,6.236369590203704,0,0,0,0,0,0,100,none,high
QMR117,QMS020,10.1016/j.jece.2022.107379,2022,"Li, W.",Adsorption of lead and cadmium by microplastics and their desorption behavior as vectors in the gastrointestinal environment,Journal of Environmental Chemical Engineering,"Li, W.; Zu, B.; Yang, Q.; Huang, Y.; Li, J.",39,Virgin,PP,1.71,Pb (II),25.5,25.0,7.0,200.0,Single-ion,775.0,,,QMS020,20,False,6.652863029353347,0,0,0,0,0,0,100,none,high
QMR118,QMS020,10.1016/j.jece.2022.107379,2022,"Li, W.",Adsorption of lead and cadmium by microplastics and their desorption behavior as vectors in the gastrointestinal environment,Journal of Environmental Chemical Engineering,"Li, W.; Zu, B.; Yang, Q.; Huang, Y.; Li, J.",39,Virgin,PS,0.46,Cd (II),25.5,25.0,7.0,200.0,Single-ion,314.0,,,QMS020,20,False,5.749392985908253,0,0,0,0,0,0,100,none,high
QMR119,QMS020,10.1016/j.jece.2022.107379,2022,"Li, W.",Adsorption of lead and cadmium by microplastics and their desorption behavior as vectors in the gastrointestinal environment,Journal of Environmental Chemical Engineering,"Li, W.; Zu, B.; Yang, Q.; Huang, Y.; Li, J.",39,Virgin,PP,1.71,Cd (II),25.5,25.0,7.0,200.0,Single-ion,323.0,,,QMS020,20,False,5.777652323222656,0,0,0,0,0,0,100,none,high
QMR120,QMS017,10.1016/j.scitotenv.2022.155251,2022,"Li, Y.",Effect of biofilm colonization on Pb(II) adsorption onto poly(butylene succinate) microplastic during its biodegradation,Science of the Total Environment,"Li, Y.; Wang, X.; Wang, Y.; Sun, Y.; Xia, S.; Zhao, J.",36,Virgin,PBS,1.06,Pb (II),4.0,25.0,5.0,180.0,Single-ion,64.13,,,QMS017,17,False,4.160912273160771,0,0,0,0,0,0,100,none,high
