metal,scenario,release_assumption,release_fraction,qm_mean_mg_g,emvp_mean_ug_L,emvp_ci_95_lower,emvp_ci_95_upper,background_ug_L,ratio_mean,ratio_ci95_lower,ratio_ci95_upper,base_interpretation,interpretation_note
Hg,moderate,low_release_1pct,0.01,0.031561304347826,3.194157829904e-06,9.299956819600888e-07,8.142744376255001e-06,0.1,3.1941578299041e-05,9.2999568196e-06,8.1427443762551e-05,likely_minor,Scenario-based screening assumption: 1% release of sorbed metal.
Hg,moderate,medium_release_10pct,0.1,0.031561304347826,3.194157829904e-05,9.299956819600888e-06,8.142744376255e-05,0.1,0.00031941578299041,9.2999568196e-05,0.0008142744376255101,likely_minor,Scenario-based screening assumption: 10% release of sorbed metal.
Hg,moderate,high_release_25pct,0.25,0.031561304347826,7.98539457476e-05,2.324989204900222e-05,0.000203568609406375,0.1,0.000798539457476025,0.00023249892049,0.002035686094063775,likely_minor,Scenario-based screening assumption: 25% release of sorbed metal.
Hg,moderate,upper_bound_full_release,1.0,0.031561304347826,0.0003194157829904,9.299956819600887e-05,0.0008142744376255,0.1,0.0031941578299041,0.00092999568196,0.0081427443762551,likely_minor,Upper-bound screening assumption: 100% release of sorbed metal.
Hg,high,low_release_1pct,0.01,0.031561304347826,3.1592274147832004e-05,9.225601547959e-06,7.9319010442814e-05,0.1,0.00031592274147832904,9.2256015479591e-05,0.000793190104428142,likely_minor,Scenario-based screening assumption: 1% release of sorbed metal.
Hg,high,medium_release_10pct,0.1,0.031561304347826,0.00031592274147832004,9.225601547959e-05,0.00079319010442814,0.1,0.0031592274147832903,0.00092256015479591,0.00793190104428142,likely_minor,Scenario-based screening assumption: 10% release of sorbed metal.
Hg,high,high_release_25pct,0.25,0.031561304347826,0.0007898068536958,0.000230640038698975,0.00198297526107035,0.1,0.007898068536958226,0.002306400386989775,0.01982975261070355,likely_minor,Scenario-based screening assumption: 25% release of sorbed metal.
Hg,high,upper_bound_full_release,1.0,0.031561304347826,0.0031592274147832,0.0009225601547959,0.0079319010442814,0.1,0.0315922741478329,0.0092256015479591,0.0793190104428142,likely_minor,Upper-bound screening assumption: 100% release of sorbed metal.
Hg,extreme,low_release_1pct,0.01,0.031561304347826,0.000315695929711457,8.8586660568811e-05,0.000801757035808416,0.1,0.003156959297114579,0.0008858666056881099,0.008017570358084165,potentially_relevant,Scenario-based screening assumption: 1% release of sorbed metal.
Hg,extreme,medium_release_10pct,0.1,0.031561304347826,0.00315695929711457,0.00088586660568811,0.00801757035808416,0.1,0.03156959297114579,0.0088586660568811,0.08017570358084164,potentially_relevant,Scenario-based screening assumption: 10% release of sorbed metal.
Hg,extreme,high_release_25pct,0.25,0.031561304347826,0.007892398242786425,0.002214666514220275,0.0200439258952104,0.1,0.07892398242786447,0.02214666514220275,0.2004392589521041,potentially_relevant,Scenario-based screening assumption: 25% release of sorbed metal.
Hg,extreme,upper_bound_full_release,1.0,0.031561304347826,0.0315695929711457,0.0088586660568811,0.0801757035808416,0.1,0.3156959297114579,0.088586660568811,0.8017570358084164,potentially_relevant,Upper-bound screening assumption: 100% release of sorbed metal.
Mn,pristine,low_release_1pct,0.01,0.7505666666666667,7.479541561973892e-07,2.1431746341740215e-07,1.891686080535e-06,20.0,3.739770780986946e-08,1.0715873170870108e-08,9.458430402675556e-08,likely_minor,Scenario-based screening assumption: 1% release of sorbed metal.
