metal,scenario,c_mp_mg_L,qm_mean_mg_g,emvp_mean_ug_L,emvp_median_ug_L,emvp_ci_95_lower,emvp_ci_95_upper,background_ug_L,ratio_mean,ratio_median,ratio_ci95_lower,ratio_ci95_upper,interpretation
Hg,low,0.001,0.031561304347826086,3.132516227208981e-05,2.684342206816932e-05,8.960925784343035e-06,7.918686366994173e-05,0.1,0.0003132516227208981,0.0002684342206816932,8.960925784343035e-05,0.0007918686366994172,likely_minor
Hg,moderate,0.01,0.031561304347826086,0.0003194157829904123,0.00027201297589521725,9.299956819600889e-05,0.0008142744376255135,0.1,0.003194157829904123,0.0027201297589521723,0.0009299956819600889,0.008142744376255135,likely_minor
Hg,high,0.1,0.031561304347826086,0.003159227414783291,0.002714228693281788,0.0009225601547959112,0.007931901044281429,0.1,0.03159227414783291,0.027142286932817877,0.009225601547959112,0.07931901044281428,likely_minor
Hg,extreme,1.0,0.031561304347826086,0.03156959297114579,0.026933138176262125,0.008858666056881102,0.08017570358084164,0.1,0.3156959297114579,0.2693313817626212,0.08858666056881101,0.8017570358084164,potentially_relevant
Mn,pristine,0.0001,0.7505666666666667,7.479541561973892e-05,6.383752619169855e-05,2.1431746341740216e-05,0.00018916860805351114,20.0,3.739770780986946e-06,3.1918763095849273e-06,1.0715873170870107e-06,9.458430402675556e-06,likely_minor
Mn,low,0.001,0.7505666666666667,0.0007520764863929567,0.0006387319617474324,0.00022195564664371294,0.0019515025332071825,20.0,3.760382431964783e-05,3.193659808737162e-05,1.1097782332185647e-05,9.757512666035912e-05,likely_minor
Mn,moderate,0.01,0.7505666666666667,0.0074529688753706,0.006433141990240695,0.0021975599270094813,0.019169582612814186,20.0,0.00037264844376853,0.0003216570995120347,0.00010987799635047407,0.0009584791306407093,likely_minor
Mn,high,0.1,0.7505666666666667,0.07374109073250265,0.06372423623737739,0.021314531450920212,0.18432923006904792,20.0,0.0036870545366251327,0.0031862118118688694,0.0010657265725460105,0.009216461503452397,likely_minor
Mn,extreme,1.0,0.7505666666666667,0.7503669579660837,0.6420390223322865,0.21412471267309624,1.9241163568274935,20.0,0.03751834789830418,0.032101951116614326,0.010706235633654812,0.09620581784137468,likely_minor
Ni,pristine,0.0001,0.13043679999999996,1.3033737358218578e-05,1.1132973340122806e-05,3.7397772227928473e-06,3.3587544061291714e-05,10.0,1.3033737358218579e-06,1.1132973340122806e-06,3.739777222792847e-07,3.3587544061291716e-06,likely_minor
Ni,low,0.001,0.13043679999999996,0.00012919571964773585,0.00011172518142313841,3.622379368464983e-05,0.00033025635071839277,10.0,1.2919571964773584e-05,1.1172518142313842e-05,3.622379368464983e-06,3.302563507183928e-05,likely_minor
Ni,moderate,0.01,0.13043679999999996,0.001308433394371493,0.001122486011554164,0.0003871540286077125,0.0033641450999722937,10.0,0.0001308433394371493,0.00011224860115541641,3.871540286077125e-05,0.0003364145099972294,likely_minor
Ni,high,0.1,0.13043679999999996,0.013100933034474321,0.011156551029046438,0.0037520617013501725,0.033431200097305165,10.0,0.0013100933034474321,0.0011156551029046437,0.00037520617013501724,0.0033431200097305165,likely_minor
Ni,extreme,1.0,0.13043679999999996,0.13064447752253944,0.11201334676489234,0.03733293932245093,0.33473642361876654,10.0,0.013064447752253943,0.011201334676489235,0.003733293932245093,0.03347364236187665,likely_minor
Pb,pristine,0.0001,2.3359787313253015,0.000234392953881659,0.00019947066085328853,6.82644890550709e-05,0.0006052366723998064,2.0,0.0001171964769408295,9.973533042664426e-05,3.413224452753545e-05,0.0003026183361999032,likely_minor
Pb,low,0.001,2.3359787313253015,0.0023546998212169534,0.002024607102705061,0.0006770415030998772,0.00601314034848176,2.0,0.0011773499106084767,0.0010123035513525305,0.0003385207515499386,0.00300657017424088,likely_minor
Pb,moderate,0.01,2.3359787313253015,0.023511020677307943,0.02015670898400391,0.00655018842552288,0.06125707750676045,2.0,0.011755510338653971,0.010078354492001954,0.00327509421276144,0.030628538753380227,likely_minor
Pb,high,0.1,2.3359787313253015,0.23408793787779586,0.20052024789832446,0.06679259477345678,0.5889809371018877,2.0,0.11704396893889793,0.10026012394916223,0.03339629738672839,0.29449046855094385,potentially_relevant
Pb,extreme,1.0,2.3359787313253015,2.349824413534368,2.0132606620231517,0.6574068679290045,6.000160677532469,2.0,1.174912206767184,1.0066303310115758,0.32870343396450225,3.0000803387662347,dominant
Zn,pristine,0.0001,0.15615908333333336,1.562782953495624e-05,1.3341133991179554e-05,4.489596605505556e-06,4.034980095688519e-05,50.0,3.125565906991248e-07,2.668226798235911e-07,8.979193211011113e-08,8.069960191377038e-07,likely_minor
Zn,low,0.001,0.15615908333333336,0.00015518783597013254,0.00013304968200066237,4.4718498138893166e-05,0.0004033936473359012,50.0,3.1037567194026507e-06,2.6609936400132474e-06,8.943699627778633e-07,8.067872946718023e-06,likely_minor
Zn,moderate,0.01,0.15615908333333336,0.0015624450512470684,0.0013375406690494676,0.0004485713669723034,0.003968393027205391,50.0,3.124890102494137e-05,2.6750813380989352e-05,8.971427339446067e-06,7.936786054410783e-05,likely_minor
Zn,high,0.1,0.15615908333333336,0.015594145620624309,0.013326477073036103,0.00449246940936035,0.03929666943687427,50.0,0.0003118829124124862,0.00026652954146072207,8.9849388187207e-05,0.0007859333887374854,likely_minor
Zn,extreme,1.0,0.15615908333333336,0.15651337055479825,0.13428761985150323,0.04583886034801895,0.4031368783996044,50.0,0.003130267411095965,0.0026857523970300647,0.000916777206960379,0.008062737567992088,likely_minor
